,0,1,mesa,eleciones,circuito
0,Total Inscriptos :,349,104,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
1,Votantes :,81.09 %,104,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
0,Total Inscriptos :,350,105,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
1,Votantes :,84.29 %,105,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
0,Total Inscriptos :,349,106,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
1,Votantes :,85.10 %,106,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
0,Total Inscriptos :,350,107,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
1,Votantes :,86.57 %,107,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
0,Total Inscriptos :,349,108,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
1,Votantes :,83.95 %,108,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
0,Total Inscriptos :,350,109,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
1,Votantes :,82.86 %,109,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
0,Total Inscriptos :,350,110,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
1,Votantes :,84.00 %,110,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
0,Total Inscriptos :,349,111,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
1,Votantes :,84.81 %,111,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
0,Total Inscriptos :,351,112,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
1,Votantes :,84.05 %,112,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
0,Total Inscriptos :,114,113,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
1,Votantes :,77.19 %,113,SEGUNDA VUELTA ELECTORAL 22/11/2015,640
0,Total Inscriptos :,350,114,SEGUNDA VUELTA ELECTORAL 22/11/2015,641
1,Votantes :,87.43 %,114,SEGUNDA VUELTA ELECTORAL 22/11/2015,641
0,Total Inscriptos :,349,115,SEGUNDA VUELTA ELECTORAL 22/11/2015,641
1,Votantes :,81.09 %,115,SEGUNDA VUELTA ELECTORAL 22/11/2015,641
0,Total Inscriptos :,349,116,SEGUNDA VUELTA ELECTORAL 22/11/2015,641
1,Votantes :,82.23 %,116,SEGUNDA VUELTA ELECTORAL 22/11/2015,641
0,Total Inscriptos :,350,117,SEGUNDA VUELTA ELECTORAL 22/11/2015,641
1,Votantes :,81.43 %,117,SEGUNDA VUELTA ELECTORAL 22/11/2015,641
