,0,1,mesa,eleciones,circuito
0,Total Inscriptos :,350,107,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,77.43 %,107,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,350,108,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,79.71 %,108,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,351,109,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,78.92 %,109,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,351,110,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,79.49 %,110,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,350,111,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,79.14 %,111,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,349,112,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,81.66 %,112,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,350,113,ELECCIONES GENERALES 22/10/2017,641
1,Votantes :,80.00 %,113,ELECCIONES GENERALES 22/10/2017,641
0,Total Inscriptos :,350,114,ELECCIONES GENERALES 22/10/2017,641
1,Votantes :,80.00 %,114,ELECCIONES GENERALES 22/10/2017,641
0,Total Inscriptos :,350,115,ELECCIONES GENERALES 22/10/2017,641
1,Votantes :,80.29 %,115,ELECCIONES GENERALES 22/10/2017,641
0,Total Inscriptos :,350,116,ELECCIONES GENERALES 22/10/2017,641
1,Votantes :,75.71 %,116,ELECCIONES GENERALES 22/10/2017,641
0,Total Inscriptos :,351,117,ELECCIONES GENERALES 22/10/2017,641
1,Votantes :,82.34 %,117,ELECCIONES GENERALES 22/10/2017,641
0,Total Inscriptos :,351,118,ELECCIONES GENERALES 22/10/2017,641
1,Votantes :,80.34 %,118,ELECCIONES GENERALES 22/10/2017,641
0,Total Inscriptos :,293,119,ELECCIONES GENERALES 22/10/2017,641
1,Votantes :,79.18 %,119,ELECCIONES GENERALES 22/10/2017,641
0,Total Inscriptos :,351,120,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,80.91 %,120,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,351,121,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,82.05 %,121,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,122,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,82.29 %,122,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,123,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,80.57 %,123,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,124,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,81.43 %,124,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,351,125,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,80.06 %,125,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,126,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,86.00 %,126,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,127,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,80.57 %,127,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,128,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,83.71 %,128,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,351,129,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,77.49 %,129,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,351,130,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,83.19 %,130,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,131,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,82.57 %,131,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,132,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,82.86 %,132,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,133,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,84.29 %,133,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,134,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,82.57 %,134,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,135,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,82.86 %,135,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,136,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,83.43 %,136,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,137,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,81.14 %,137,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,138,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,82.57 %,138,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,139,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,77.14 %,139,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,140,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,84.00 %,140,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,141,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,81.71 %,141,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,350,142,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,80.57 %,142,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,190,143,ELECCIONES GENERALES 22/10/2017,642
1,Votantes :,87.37 %,143,ELECCIONES GENERALES 22/10/2017,642
0,Total Inscriptos :,351,144,ELECCIONES GENERALES 22/10/2017,643
1,Votantes :,76.92 %,144,ELECCIONES GENERALES 22/10/2017,643
0,Total Inscriptos :,350,145,ELECCIONES GENERALES 22/10/2017,643
1,Votantes :,80.57 %,145,ELECCIONES GENERALES 22/10/2017,643
0,Total Inscriptos :,350,146,ELECCIONES GENERALES 22/10/2017,643
1,Votantes :,83.14 %,146,ELECCIONES GENERALES 22/10/2017,643
0,Total Inscriptos :,351,147,ELECCIONES GENERALES 22/10/2017,643
1,Votantes :,79.77 %,147,ELECCIONES GENERALES 22/10/2017,643
0,Total Inscriptos :,192,148,ELECCIONES GENERALES 22/10/2017,643
1,Votantes :,76.04 %,148,ELECCIONES GENERALES 22/10/2017,643
0,Total Inscriptos :,193,149,ELECCIONES GENERALES 22/10/2017,643
1,Votantes :,80.31 %,149,ELECCIONES GENERALES 22/10/2017,643
0,Total Inscriptos :,350,150,ELECCIONES GENERALES 22/10/2017,644
1,Votantes :,75.43 %,150,ELECCIONES GENERALES 22/10/2017,644
0,Total Inscriptos :,350,151,ELECCIONES GENERALES 22/10/2017,644
1,Votantes :,79.14 %,151,ELECCIONES GENERALES 22/10/2017,644
0,Total Inscriptos :,195,152,ELECCIONES GENERALES 22/10/2017,644
1,Votantes :,74.87 %,152,ELECCIONES GENERALES 22/10/2017,644
0,Total Inscriptos :,199,153,ELECCIONES GENERALES 22/10/2017,645
1,Votantes :,72.86 %,153,ELECCIONES GENERALES 22/10/2017,645
0,Total Inscriptos :,176,154,ELECCIONES GENERALES 22/10/2017,646
1,Votantes :,71.59 %,154,ELECCIONES GENERALES 22/10/2017,646
0,Total Inscriptos :,176,155,ELECCIONES GENERALES 22/10/2017,646
1,Votantes :,73.86 %,155,ELECCIONES GENERALES 22/10/2017,646
0,Total Inscriptos :,157,156,ELECCIONES GENERALES 22/10/2017,647
1,Votantes :,79.62 %,156,ELECCIONES GENERALES 22/10/2017,647
0,Total Inscriptos :,200,157,ELECCIONES GENERALES 22/10/2017,648
1,Votantes :,80.50 %,157,ELECCIONES GENERALES 22/10/2017,648
