,0,1,mesa,eleciones,circuito
0,Total Inscriptos :,350,60,ELECCIONES PASO 13/08/2017,638
1,Votantes :,80.00 %,60,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,61,ELECCIONES PASO 13/08/2017,638
1,Votantes :,74.86 %,61,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,62,ELECCIONES PASO 13/08/2017,638
1,Votantes :,76.00 %,62,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,63,ELECCIONES PASO 13/08/2017,638
1,Votantes :,77.43 %,63,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,64,ELECCIONES PASO 13/08/2017,638
1,Votantes :,78.57 %,64,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,351,65,ELECCIONES PASO 13/08/2017,638
1,Votantes :,79.77 %,65,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,351,66,ELECCIONES PASO 13/08/2017,638
1,Votantes :,80.91 %,66,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,67,ELECCIONES PASO 13/08/2017,638
1,Votantes :,79.14 %,67,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,68,ELECCIONES PASO 13/08/2017,638
1,Votantes :,79.14 %,68,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,69,ELECCIONES PASO 13/08/2017,638
1,Votantes :,76.29 %,69,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,70,ELECCIONES PASO 13/08/2017,638
1,Votantes :,72.29 %,70,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,71,ELECCIONES PASO 13/08/2017,638
1,Votantes :,76.57 %,71,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,278,72,ELECCIONES PASO 13/08/2017,638
1,Votantes :,82.01 %,72,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,73,ELECCIONES PASO 13/08/2017,639
1,Votantes :,76.00 %,73,ELECCIONES PASO 13/08/2017,639
0,Total Inscriptos :,350,74,ELECCIONES PASO 13/08/2017,639
1,Votantes :,81.71 %,74,ELECCIONES PASO 13/08/2017,639
0,Total Inscriptos :,352,75,ELECCIONES PASO 13/08/2017,639
1,Votantes :,76.14 %,75,ELECCIONES PASO 13/08/2017,639
0,Total Inscriptos :,350,76,ELECCIONES PASO 13/08/2017,639
1,Votantes :,76.86 %,76,ELECCIONES PASO 13/08/2017,639
0,Total Inscriptos :,350,77,ELECCIONES PASO 13/08/2017,639
1,Votantes :,81.14 %,77,ELECCIONES PASO 13/08/2017,639
0,Total Inscriptos :,350,78,ELECCIONES PASO 13/08/2017,639
1,Votantes :,77.14 %,78,ELECCIONES PASO 13/08/2017,639
0,Total Inscriptos :,350,79,ELECCIONES PASO 13/08/2017,639
1,Votantes :,74.86 %,79,ELECCIONES PASO 13/08/2017,639
0,Total Inscriptos :,351,80,ELECCIONES PASO 13/08/2017,639
1,Votantes :,77.49 %,80,ELECCIONES PASO 13/08/2017,639
0,Total Inscriptos :,350,81,ELECCIONES PASO 13/08/2017,639
1,Votantes :,75.43 %,81,ELECCIONES PASO 13/08/2017,639
0,Total Inscriptos :,351,82,ELECCIONES PASO 13/08/2017,639
1,Votantes :,78.63 %,82,ELECCIONES PASO 13/08/2017,639
0,Total Inscriptos :,350,83,ELECCIONES PASO 13/08/2017,639
1,Votantes :,75.43 %,83,ELECCIONES PASO 13/08/2017,639
0,Total Inscriptos :,350,84,ELECCIONES PASO 13/08/2017,639
1,Votantes :,78.29 %,84,ELECCIONES PASO 13/08/2017,639
0,Total Inscriptos :,350,85,ELECCIONES PASO 13/08/2017,639
1,Votantes :,75.71 %,85,ELECCIONES PASO 13/08/2017,639
0,Total Inscriptos :,350,86,ELECCIONES PASO 13/08/2017,639
1,Votantes :,74.57 %,86,ELECCIONES PASO 13/08/2017,639
0,Total Inscriptos :,350,87,ELECCIONES PASO 13/08/2017,639
1,Votantes :,77.71 %,87,ELECCIONES PASO 13/08/2017,639
0,Total Inscriptos :,345,88,ELECCIONES PASO 13/08/2017,639
1,Votantes :,77.68 %,88,ELECCIONES PASO 13/08/2017,639
0,Total Inscriptos :,350,89,ELECCIONES PASO 13/08/2017,640
1,Votantes :,78.86 %,89,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,350,90,ELECCIONES PASO 13/08/2017,640
1,Votantes :,79.71 %,90,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,351,91,ELECCIONES PASO 13/08/2017,640
1,Votantes :,80.06 %,91,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,351,92,ELECCIONES PASO 13/08/2017,640
1,Votantes :,86.04 %,92,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,350,93,ELECCIONES PASO 13/08/2017,640
