,0,1,mesa,eleciones,circuito
0,Total Inscriptos :,351,84,ELECCIONES GENERALES 25/10/2015,639
1,Votantes :,85.47 %,84,ELECCIONES GENERALES 25/10/2015,639
0,Total Inscriptos :,350,85,ELECCIONES GENERALES 25/10/2015,639
1,Votantes :,85.71 %,85,ELECCIONES GENERALES 25/10/2015,639
2,Votos Comando Electoral:,1,85,ELECCIONES GENERALES 25/10/2015,639
0,Total Inscriptos :,349,86,ELECCIONES GENERALES 25/10/2015,639
1,Votantes :,83.38 %,86,ELECCIONES GENERALES 25/10/2015,639
0,Total Inscriptos :,350,87,ELECCIONES GENERALES 25/10/2015,639
1,Votantes :,84.57 %,87,ELECCIONES GENERALES 25/10/2015,639
0,Total Inscriptos :,350,88,ELECCIONES GENERALES 25/10/2015,639
1,Votantes :,85.43 %,88,ELECCIONES GENERALES 25/10/2015,639
0,Total Inscriptos :,350,89,ELECCIONES GENERALES 25/10/2015,639
1,Votantes :,87.71 %,89,ELECCIONES GENERALES 25/10/2015,639
0,Total Inscriptos :,72,90,ELECCIONES GENERALES 25/10/2015,639
1,Votantes :,90.28 %,90,ELECCIONES GENERALES 25/10/2015,639
0,Total Inscriptos :,351,91,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,84.33 %,91,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,349,92,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,85.67 %,92,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,349,93,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,87.97 %,93,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,350,94,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,86.86 %,94,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,350,95,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,87.71 %,95,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,350,96,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,84.29 %,96,ELECCIONES GENERALES 25/10/2015,640
2,Votos Comando Electoral:,1,96,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,350,97,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,87.14 %,97,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,349,98,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,85.96 %,98,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,350,99,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,84.00 %,99,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,351,100,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,86.32 %,100,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,351,101,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,84.62 %,101,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,349,102,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,83.67 %,102,ELECCIONES GENERALES 25/10/2015,640
2,Votos Comando Electoral:,1,102,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,351,103,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,85.19 %,103,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,349,104,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,81.66 %,104,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,350,105,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,85.14 %,105,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,349,106,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,86.82 %,106,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,350,107,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,87.43 %,107,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,349,108,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,86.82 %,108,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,350,109,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,84.29 %,109,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,350,110,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,85.14 %,110,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,349,111,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,85.96 %,111,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,351,112,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,84.33 %,112,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,114,113,ELECCIONES GENERALES 25/10/2015,640
1,Votantes :,78.95 %,113,ELECCIONES GENERALES 25/10/2015,640
0,Total Inscriptos :,350,114,ELECCIONES GENERALES 25/10/2015,641
1,Votantes :,86.29 %,114,ELECCIONES GENERALES 25/10/2015,641
0,Total Inscriptos :,349,115,ELECCIONES GENERALES 25/10/2015,641
1,Votantes :,85.67 %,115,ELECCIONES GENERALES 25/10/2015,641
0,Total Inscriptos :,349,116,ELECCIONES GENERALES 25/10/2015,641
1,Votantes :,84.24 %,116,ELECCIONES GENERALES 25/10/2015,641
0,Total Inscriptos :,350,117,ELECCIONES GENERALES 25/10/2015,641
1,Votantes :,84.57 %,117,ELECCIONES GENERALES 25/10/2015,641
0,Total Inscriptos :,349,118,ELECCIONES GENERALES 25/10/2015,641
1,Votantes :,81.66 %,118,ELECCIONES GENERALES 25/10/2015,641
2,Votos Comando Electoral:,1,118,ELECCIONES GENERALES 25/10/2015,641
0,Total Inscriptos :,350,119,ELECCIONES GENERALES 25/10/2015,641
1,Votantes :,80.00 %,119,ELECCIONES GENERALES 25/10/2015,641
0,Total Inscriptos :,156,120,ELECCIONES GENERALES 25/10/2015,641
1,Votantes :,83.33 %,120,ELECCIONES GENERALES 25/10/2015,641
0,Total Inscriptos :,350,121,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,85.71 %,121,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,349,122,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,85.67 %,122,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,349,123,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,85.39 %,123,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,349,124,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,84.53 %,124,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,351,125,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,83.76 %,125,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,350,126,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,88.57 %,126,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,350,127,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,87.43 %,127,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,350,128,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,89.43 %,128,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,350,129,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,83.71 %,129,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,350,130,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,84.57 %,130,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,350,131,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,89.71 %,131,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,350,132,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,87.71 %,132,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,349,133,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,88.25 %,133,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,350,134,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,88.57 %,134,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,350,135,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,86.57 %,135,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,350,136,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,85.71 %,136,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,350,137,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,86.29 %,137,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,348,138,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,85.92 %,138,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,350,139,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,84.29 %,139,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,350,140,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,88.86 %,140,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,350,141,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,86.86 %,141,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,350,142,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,85.71 %,142,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,200,143,ELECCIONES GENERALES 25/10/2015,642
1,Votantes :,89.00 %,143,ELECCIONES GENERALES 25/10/2015,642
2,Votos Comando Electoral:,1,143,ELECCIONES GENERALES 25/10/2015,642
0,Total Inscriptos :,350,144,ELECCIONES GENERALES 25/10/2015,643
1,Votantes :,83.71 %,144,ELECCIONES GENERALES 25/10/2015,643
0,Total Inscriptos :,350,145,ELECCIONES GENERALES 25/10/2015,643
1,Votantes :,83.14 %,145,ELECCIONES GENERALES 25/10/2015,643
0,Total Inscriptos :,350,146,ELECCIONES GENERALES 25/10/2015,643
1,Votantes :,86.86 %,146,ELECCIONES GENERALES 25/10/2015,643
0,Total Inscriptos :,350,147,ELECCIONES GENERALES 25/10/2015,643
1,Votantes :,81.71 %,147,ELECCIONES GENERALES 25/10/2015,643
0,Total Inscriptos :,218,148,ELECCIONES GENERALES 25/10/2015,643
1,Votantes :,88.07 %,148,ELECCIONES GENERALES 25/10/2015,643
2,Votos Comando Electoral:,1,148,ELECCIONES GENERALES 25/10/2015,643
0,Total Inscriptos :,350,149,ELECCIONES GENERALES 25/10/2015,644
1,Votantes :,79.14 %,149,ELECCIONES GENERALES 25/10/2015,644
0,Total Inscriptos :,350,150,ELECCIONES GENERALES 25/10/2015,644
1,Votantes :,79.43 %,150,ELECCIONES GENERALES 25/10/2015,644
0,Total Inscriptos :,258,151,ELECCIONES GENERALES 25/10/2015,644
1,Votantes :,82.17 %,151,ELECCIONES GENERALES 25/10/2015,644
2,Votos Comando Electoral:,1,151,ELECCIONES GENERALES 25/10/2015,644
0,Total Inscriptos :,238,152,ELECCIONES GENERALES 25/10/2015,645
1,Votantes :,77.31 %,152,ELECCIONES GENERALES 25/10/2015,645
2,Votos Comando Electoral:,1,152,ELECCIONES GENERALES 25/10/2015,645
0,Total Inscriptos :,192,153,ELECCIONES GENERALES 25/10/2015,646
1,Votantes :,76.56 %,153,ELECCIONES GENERALES 25/10/2015,646
0,Total Inscriptos :,192,154,ELECCIONES GENERALES 25/10/2015,646
1,Votantes :,80.21 %,154,ELECCIONES GENERALES 25/10/2015,646
0,Total Inscriptos :,174,155,ELECCIONES GENERALES 25/10/2015,647
1,Votantes :,82.18 %,155,ELECCIONES GENERALES 25/10/2015,647
0,Total Inscriptos :,230,156,ELECCIONES GENERALES 25/10/2015,648
1,Votantes :,81.30 %,156,ELECCIONES GENERALES 25/10/2015,648
