,NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,GOBERNADOR PROVINCIAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
9,,TOTALES,285.0,285,285,285.0,14,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,0,1,,15,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,4.0,4,4,1.0,15,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,164.0,169,164,133.0,15,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,99.0,99,100,133.0,15,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,12.0,9,9,5.0,15,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,0.0,0,0,2.0,15,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,1.0,15,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,15,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,8.0,6,9,12.0,15,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,287.0,287,287,287.0,15,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,0,1,,16,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,9.0,8,8,5.0,16,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,184.0,191,185,148.0,16,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,69.0,67,69,116.0,16,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,16.0,14,14,8.0,16,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,0.0,0,0,0.0,16,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,1,1,1.0,16,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,16,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,9.0,6,9,9.0,16,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,287.0,287,287,287.0,16,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,0,0,,17,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,2.0,1,4,2.0,17,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,166.0,167,164,129.0,17,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,91.0,96,94,133.0,17,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,16.0,15,15,10.0,17,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,2.0,1,1,1.0,17,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,17,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
