,NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,SENADOR PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
10,,VOTOS EN BLANCO,9.0,12.0,9.0,6,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,265.0,265.0,265.0,6,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,7.0,,,7,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,7.0,,7,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,16.0,15.0,13.0,7,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,15.0,16.0,15.0,7,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,125.0,127.0,122.0,7,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,71.0,69.0,75.0,7,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,10.0,10.0,9.0,7,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,2.0,2.0,3.0,7,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,7,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,7,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,1.0,1.0,10.0,7,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,247.0,247.0,247.0,7,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,1.0,,,8,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,1.0,,8,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,16.0,14.0,13.0,8,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,14.0,15.0,13.0,8,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,135.0,137.0,132.0,8,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,77.0,77.0,88.0,8,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,12.0,8.0,4.0,8,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,0.0,0.0,0.0,8,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,8,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,8,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,1.0,4.0,6.0,8,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,256.0,256.0,256.0,8,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,3.0,,,9,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,3.0,,9,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,25.0,24.0,19.0,9,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,9.0,9.0,8.0,9,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,139.0,138.0,133.0,9,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,76.0,76.0,91.0,9,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,6.0,6.0,4.0,9,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,2.0,2.0,2.0,9,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,1.0,1.0,1.0,9,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,9,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,2.0,4.0,5.0,9,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,263.0,263.0,263.0,9,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,8.0,,,10,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,7.0,,10,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,25.0,25.0,22.0,10,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,10.0,10.0,9.0,10,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,129.0,128.0,119.0,10,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,86.0,86.0,107.0,10,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,8.0,7.0,7.0,10,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,2.0,2.0,2.0,10,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,10,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,10,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,6.0,9.0,8.0,10,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,274.0,274.0,274.0,10,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,5.0,,,11,ELECCIONES GENERALES 14/11/2021,638
