,NRO,AGRUPACION POLITICA,PRESIDENTE Y VICE,DIPUTADO NACIONAL,GOBERNADOR PROVINCIAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
58,315,MORAL Y PROGRESO,,,,,,88,ELECCIONES PASO 11/08/2019,639
59,315,LISTA ESPERANZA,,0.0,,,,88,ELECCIONES PASO 11/08/2019,639
60,,TOTAL MORAL Y PROGRESO,,0.0,,,,88,ELECCIONES PASO 11/08/2019,639
61,,VOTOS NULOS,1.0,2.0,3.0,2.0,3.0,88,ELECCIONES PASO 11/08/2019,639
62,,VOTOS RECURRIDOS,1.0,1.0,1.0,1.0,1.0,88,ELECCIONES PASO 11/08/2019,639
63,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,0.0,88,ELECCIONES PASO 11/08/2019,639
64,,VOTOS EN BLANCO,12.0,16.0,11.0,22.0,22.0,88,ELECCIONES PASO 11/08/2019,639
65,,TOTALES,256.0,256.0,256.0,256.0,256.0,88,ELECCIONES PASO 11/08/2019,639
0,13,MOVIMIENTO AL SOCIALISMO-MAS,,,,,,89,ELECCIONES PASO 11/08/2019,639
1,13,LISTA 1A - UNIDAD DE LA IZQUIERDA,2.0,,,,,89,ELECCIONES PASO 11/08/2019,639
2,,TOTAL MOVIMIENTO AL SOCIALISMO-MAS,2.0,,,,,89,ELECCIONES PASO 11/08/2019,639
3,276,MOVIMIENTO DE AVANZADA SOCIALISTA,,,,,,89,ELECCIONES PASO 11/08/2019,639
4,276,LISTA 1A UNIDAD DE LA IZQUIERDA,,2.0,2.0,2.0,,89,ELECCIONES PASO 11/08/2019,639
5,,TOTAL MOVIMIENTO DE AVANZADA SOCIALISTA,,2.0,2.0,2.0,,89,ELECCIONES PASO 11/08/2019,639
6,36,PARTIDO AUTONOMISTA,,,,,,89,ELECCIONES PASO 11/08/2019,639
7,36,VALORES Y EXPERIENCIA,0.0,,,,,89,ELECCIONES PASO 11/08/2019,639
8,,TOTAL PARTIDO AUTONOMISTA,0.0,,,,,89,ELECCIONES PASO 11/08/2019,639
9,57,MOVIMIENTO ACCION VECINAL,,,,,,89,ELECCIONES PASO 11/08/2019,639
10,57,COMPROMISO VECINAL-A,0.0,,,,,89,ELECCIONES PASO 11/08/2019,639
11,,TOTAL MOVIMIENTO ACCION VECINAL,0.0,,,,,89,ELECCIONES PASO 11/08/2019,639
12,79,PARTIDO RENOVADOR FEDERAL,,,,,,89,ELECCIONES PASO 11/08/2019,639
13,79,SOMOS RENOVADORES,,0.0,,0.0,,89,ELECCIONES PASO 11/08/2019,639
14,,TOTAL PARTIDO RENOVADOR FEDERAL,,0.0,,0.0,,89,ELECCIONES PASO 11/08/2019,639
15,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD,,,,,,89,ELECCIONES PASO 11/08/2019,639
16,87,LISTA A-DESPERTAR,1.0,,,,,89,ELECCIONES PASO 11/08/2019,639
17,,TOTAL UNITE POR LA LIBERTAD Y LA DIGNIDAD,1.0,,,,,89,ELECCIONES PASO 11/08/2019,639
18,88/816,PARTIDO DIGNIDAD POPULAR,,,,,,89,ELECCIONES PASO 11/08/2019,639
19,88/816,LISTA 1A-POR LA VIDA,,1.0,1.0,1.0,1.0,89,ELECCIONES PASO 11/08/2019,639
20,,TOTAL PARTIDO DIGNIDAD POPULAR,,1.0,1.0,1.0,1.0,89,ELECCIONES PASO 11/08/2019,639
21,131/1911,FRENTE NOS,,,,,,89,ELECCIONES PASO 11/08/2019,639
22,131/1911,LISTA A-CELESTE 2019,6.0,,,,,89,ELECCIONES PASO 11/08/2019,639
23,131/1911,LINEA UNICA,,,7.0,7.0,,89,ELECCIONES PASO 11/08/2019,639
24,,TOTAL FRENTE NOS,6.0,,7.0,7.0,,89,ELECCIONES PASO 11/08/2019,639
25,132,FRENTE PATRIOTA,,,,,,89,ELECCIONES PASO 11/08/2019,639
26,132/,LISTA A-CELESTE,0.0,,,,,89,ELECCIONES PASO 11/08/2019,639
27,312/,LISTA CELESTE,,0.0,,,,89,ELECCIONES PASO 11/08/2019,639
28,865,LISTA LEALTAD,,,0.0,0.0,,89,ELECCIONES PASO 11/08/2019,639
29,,TOTAL FRENTE PATRIOTA,0.0,0.0,0.0,0.0,,89,ELECCIONES PASO 11/08/2019,639
30,133,FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,,,,,,89,ELECCIONES PASO 11/08/2019,639
31,133,LISTA-UNIDAD,7.0,8.0,7.0,7.0,5.0,89,ELECCIONES PASO 11/08/2019,639
32,,TOTAL FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,7.0,8.0,7.0,7.0,5.0,89,ELECCIONES PASO 11/08/2019,639
33,135,JUNTOS POR EL CAMBIO,,,,,,89,ELECCIONES PASO 11/08/2019,639
34,135,LISTA A-JUNTOS SOMOS EL CAMBIO,70.0,70.0,,,,89,ELECCIONES PASO 11/08/2019,639
35,135,LISTA 1A-AMARILLO,,,72.0,67.0,46.0,89,ELECCIONES PASO 11/08/2019,639
36,,TOTAL JUNTOS POR EL CAMBIO,70.0,70.0,72.0,67.0,46.0,89,ELECCIONES PASO 11/08/2019,639
37,136/503,FRENTE DE TODOS,,,,,,89,ELECCIONES PASO 11/08/2019,639
38,136/503,LISTA A CELESTE Y BLANCA,156.0,150.0,,,,89,ELECCIONES PASO 11/08/2019,639
39,136/503,LISTA CELESTE Y BLANCA-2,,,153.0,153.0,189.0,89,ELECCIONES PASO 11/08/2019,639
40,,TOTAL FRENTE DE TODOS,156.0,150.0,153.0,153.0,189.0,89,ELECCIONES PASO 11/08/2019,639
41,137,CONSENSO FEDERAL,,,,,,89,ELECCIONES PASO 11/08/2019,639
42,137,A-CONSENSO PARA EL FUTURO,18.0,15.0,,,,89,ELECCIONES PASO 11/08/2019,639
43,137,HAY CONSENSO,,,14.0,12.0,11.0,89,ELECCIONES PASO 11/08/2019,639
44,,TOTAL CONSENSO FEDERAL,18.0,15.0,14.0,12.0,11.0,89,ELECCIONES PASO 11/08/2019,639
45,207,PARTIDO HUMANISTA,,,,,,89,ELECCIONES PASO 11/08/2019,639
46,207,LISTA A-NARANJA,,0.0,,,,89,ELECCIONES PASO 11/08/2019,639
47,,TOTAL PARTIDO HUMANISTA,,0.0,,,,89,ELECCIONES PASO 11/08/2019,639
48,244,PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,,,89,ELECCIONES PASO 11/08/2019,639
49,244,LISTA LEALTAD,,,,0.0,,89,ELECCIONES PASO 11/08/2019,639
50,,TOTAL PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,0.0,,89,ELECCIONES PASO 11/08/2019,639
51,309,MOV. DE ORGANIZACION DEMOCRATICA-MODE,,,,,,89,ELECCIONES PASO 11/08/2019,639
52,309,LISTA COMPROMISO CIUDADANO,,0.0,,,,89,ELECCIONES PASO 11/08/2019,639
53,309,LISTA AZUL Y BLANCO,,,0.0,0.0,,89,ELECCIONES PASO 11/08/2019,639
54,,TOTAL MOV. DE ORGANIZACION DEMOCRATICA-MODE,,0.0,0.0,0.0,,89,ELECCIONES PASO 11/08/2019,639
55,314,PARTIDO REPUBLICANO FEDERAL,,,,,,89,ELECCIONES PASO 11/08/2019,639
56,314,LISTA A CELESTE Y BLANCO,,0.0,,,,89,ELECCIONES PASO 11/08/2019,639
57,,TOTAL PARTIDO REPUBLICANO FEDERAL,,0.0,,,,89,ELECCIONES PASO 11/08/2019,639
58,315,MORAL Y PROGRESO,,,,,,89,ELECCIONES PASO 11/08/2019,639
59,315,LISTA ESPERANZA,,0.0,,,,89,ELECCIONES PASO 11/08/2019,639
60,,TOTAL MORAL Y PROGRESO,,0.0,,,,89,ELECCIONES PASO 11/08/2019,639
61,,VOTOS NULOS,3.0,1.0,1.0,1.0,1.0,89,ELECCIONES PASO 11/08/2019,639
62,,VOTOS RECURRIDOS,1.0,1.0,1.0,1.0,1.0,89,ELECCIONES PASO 11/08/2019,639
63,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,0.0,89,ELECCIONES PASO 11/08/2019,639
64,,VOTOS EN BLANCO,9.0,25.0,15.0,22.0,19.0,89,ELECCIONES PASO 11/08/2019,639
65,,TOTALES,273.0,273.0,273.0,273.0,273.0,89,ELECCIONES PASO 11/08/2019,639
0,13,MOVIMIENTO AL SOCIALISMO-MAS,,,,,,90,ELECCIONES PASO 11/08/2019,639
1,13,LISTA 1A - UNIDAD DE LA IZQUIERDA,0.0,,,,,90,ELECCIONES PASO 11/08/2019,639
2,,TOTAL MOVIMIENTO AL SOCIALISMO-MAS,0.0,,,,,90,ELECCIONES PASO 11/08/2019,639
3,276,MOVIMIENTO DE AVANZADA SOCIALISTA,,,,,,90,ELECCIONES PASO 11/08/2019,639
4,276,LISTA 1A UNIDAD DE LA IZQUIERDA,,0.0,0.0,0.0,,90,ELECCIONES PASO 11/08/2019,639
5,,TOTAL MOVIMIENTO DE AVANZADA SOCIALISTA,,0.0,0.0,0.0,,90,ELECCIONES PASO 11/08/2019,639
6,36,PARTIDO AUTONOMISTA,,,,,,90,ELECCIONES PASO 11/08/2019,639
7,36,VALORES Y EXPERIENCIA,0.0,,,,,90,ELECCIONES PASO 11/08/2019,639
8,,TOTAL PARTIDO AUTONOMISTA,0.0,,,,,90,ELECCIONES PASO 11/08/2019,639
9,57,MOVIMIENTO ACCION VECINAL,,,,,,90,ELECCIONES PASO 11/08/2019,639
10,57,COMPROMISO VECINAL-A,0.0,,,,,90,ELECCIONES PASO 11/08/2019,639
11,,TOTAL MOVIMIENTO ACCION VECINAL,0.0,,,,,90,ELECCIONES PASO 11/08/2019,639
12,79,PARTIDO RENOVADOR FEDERAL,,,,,,90,ELECCIONES PASO 11/08/2019,639
13,79,SOMOS RENOVADORES,,0.0,,0.0,,90,ELECCIONES PASO 11/08/2019,639
14,,TOTAL PARTIDO RENOVADOR FEDERAL,,0.0,,0.0,,90,ELECCIONES PASO 11/08/2019,639
15,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD,,,,,,90,ELECCIONES PASO 11/08/2019,639
16,87,LISTA A-DESPERTAR,3.0,,,,,90,ELECCIONES PASO 11/08/2019,639
17,,TOTAL UNITE POR LA LIBERTAD Y LA DIGNIDAD,3.0,,,,,90,ELECCIONES PASO 11/08/2019,639
18,88/816,PARTIDO DIGNIDAD POPULAR,,,,,,90,ELECCIONES PASO 11/08/2019,639
19,88/816,LISTA 1A-POR LA VIDA,,0.0,0.0,0.0,0.0,90,ELECCIONES PASO 11/08/2019,639
20,,TOTAL PARTIDO DIGNIDAD POPULAR,,0.0,0.0,0.0,0.0,90,ELECCIONES PASO 11/08/2019,639
21,131/1911,FRENTE NOS,,,,,,90,ELECCIONES PASO 11/08/2019,639
22,131/1911,LISTA A-CELESTE 2019,1.0,,,,,90,ELECCIONES PASO 11/08/2019,639
23,131/1911,LINEA UNICA,,,1.0,1.0,,90,ELECCIONES PASO 11/08/2019,639
24,,TOTAL FRENTE NOS,1.0,,1.0,1.0,,90,ELECCIONES PASO 11/08/2019,639
25,132,FRENTE PATRIOTA,,,,,,90,ELECCIONES PASO 11/08/2019,639
26,132/,LISTA A-CELESTE,1.0,,,,,90,ELECCIONES PASO 11/08/2019,639
27,312/,LISTA CELESTE,,0.0,,,,90,ELECCIONES PASO 11/08/2019,639
28,865,LISTA LEALTAD,,,0.0,0.0,,90,ELECCIONES PASO 11/08/2019,639
29,,TOTAL FRENTE PATRIOTA,1.0,0.0,0.0,0.0,,90,ELECCIONES PASO 11/08/2019,639
30,133,FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,,,,,,90,ELECCIONES PASO 11/08/2019,639
31,133,LISTA-UNIDAD,2.0,1.0,1.0,1.0,1.0,90,ELECCIONES PASO 11/08/2019,639
32,,TOTAL FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,2.0,1.0,1.0,1.0,1.0,90,ELECCIONES PASO 11/08/2019,639
33,135,JUNTOS POR EL CAMBIO,,,,,,90,ELECCIONES PASO 11/08/2019,639
34,135,LISTA A-JUNTOS SOMOS EL CAMBIO,20.0,20.0,,,,90,ELECCIONES PASO 11/08/2019,639
35,135,LISTA 1A-AMARILLO,,,21.0,17.0,8.0,90,ELECCIONES PASO 11/08/2019,639
36,,TOTAL JUNTOS POR EL CAMBIO,20.0,20.0,21.0,17.0,8.0,90,ELECCIONES PASO 11/08/2019,639
37,136/503,FRENTE DE TODOS,,,,,,90,ELECCIONES PASO 11/08/2019,639
38,136/503,LISTA A CELESTE Y BLANCA,35.0,35.0,,,,90,ELECCIONES PASO 11/08/2019,639
39,136/503,LISTA CELESTE Y BLANCA-2,,,35.0,36.0,52.0,90,ELECCIONES PASO 11/08/2019,639
40,,TOTAL FRENTE DE TODOS,35.0,35.0,35.0,36.0,52.0,90,ELECCIONES PASO 11/08/2019,639
41,137,CONSENSO FEDERAL,,,,,,90,ELECCIONES PASO 11/08/2019,639
42,137,A-CONSENSO PARA EL FUTURO,6.0,4.0,,,,90,ELECCIONES PASO 11/08/2019,639
43,137,HAY CONSENSO,,,4.0,4.0,5.0,90,ELECCIONES PASO 11/08/2019,639
44,,TOTAL CONSENSO FEDERAL,6.0,4.0,4.0,4.0,5.0,90,ELECCIONES PASO 11/08/2019,639
45,207,PARTIDO HUMANISTA,,,,,,90,ELECCIONES PASO 11/08/2019,639
46,207,LISTA A-NARANJA,,0.0,,,,90,ELECCIONES PASO 11/08/2019,639
47,,TOTAL PARTIDO HUMANISTA,,0.0,,,,90,ELECCIONES PASO 11/08/2019,639
48,244,PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,,,90,ELECCIONES PASO 11/08/2019,639
49,244,LISTA LEALTAD,,,,0.0,,90,ELECCIONES PASO 11/08/2019,639
50,,TOTAL PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,0.0,,90,ELECCIONES PASO 11/08/2019,639
51,309,MOV. DE ORGANIZACION DEMOCRATICA-MODE,,,,,,90,ELECCIONES PASO 11/08/2019,639
52,309,LISTA COMPROMISO CIUDADANO,,0.0,,,,90,ELECCIONES PASO 11/08/2019,639
53,309,LISTA AZUL Y BLANCO,,,0.0,0.0,,90,ELECCIONES PASO 11/08/2019,639
54,,TOTAL MOV. DE ORGANIZACION DEMOCRATICA-MODE,,0.0,0.0,0.0,,90,ELECCIONES PASO 11/08/2019,639
55,314,PARTIDO REPUBLICANO FEDERAL,,,,,,90,ELECCIONES PASO 11/08/2019,639
56,314,LISTA A CELESTE Y BLANCO,,0.0,,,,90,ELECCIONES PASO 11/08/2019,639
57,,TOTAL PARTIDO REPUBLICANO FEDERAL,,0.0,,,,90,ELECCIONES PASO 11/08/2019,639
58,315,MORAL Y PROGRESO,,,,,,90,ELECCIONES PASO 11/08/2019,639
59,315,LISTA ESPERANZA,,0.0,,,,90,ELECCIONES PASO 11/08/2019,639
60,,TOTAL MORAL Y PROGRESO,,0.0,,,,90,ELECCIONES PASO 11/08/2019,639
61,,VOTOS NULOS,0.0,0.0,0.0,0.0,1.0,90,ELECCIONES PASO 11/08/2019,639
62,,VOTOS RECURRIDOS,0.0,0.0,0.0,0.0,0.0,90,ELECCIONES PASO 11/08/2019,639
63,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,0.0,90,ELECCIONES PASO 11/08/2019,639
64,,VOTOS EN BLANCO,5.0,13.0,11.0,14.0,6.0,90,ELECCIONES PASO 11/08/2019,639
65,,TOTALES,73.0,73.0,73.0,73.0,73.0,90,ELECCIONES PASO 11/08/2019,639
0,13,MOVIMIENTO AL SOCIALISMO-MAS,,,,,,91,ELECCIONES PASO 11/08/2019,640
1,13,LISTA 1A - UNIDAD DE LA IZQUIERDA,1.0,,,,,91,ELECCIONES PASO 11/08/2019,640
2,,TOTAL MOVIMIENTO AL SOCIALISMO-MAS,1.0,,,,,91,ELECCIONES PASO 11/08/2019,640
3,276,MOVIMIENTO DE AVANZADA SOCIALISTA,,,,,,91,ELECCIONES PASO 11/08/2019,640
4,276,LISTA 1A UNIDAD DE LA IZQUIERDA,,2.0,2.0,1.0,,91,ELECCIONES PASO 11/08/2019,640
5,,TOTAL MOVIMIENTO DE AVANZADA SOCIALISTA,,2.0,2.0,1.0,,91,ELECCIONES PASO 11/08/2019,640
6,36,PARTIDO AUTONOMISTA,,,,,,91,ELECCIONES PASO 11/08/2019,640
7,36,VALORES Y EXPERIENCIA,0.0,,,,,91,ELECCIONES PASO 11/08/2019,640
8,,TOTAL PARTIDO AUTONOMISTA,0.0,,,,,91,ELECCIONES PASO 11/08/2019,640
9,57,MOVIMIENTO ACCION VECINAL,,,,,,91,ELECCIONES PASO 11/08/2019,640
10,57,COMPROMISO VECINAL-A,0.0,,,,,91,ELECCIONES PASO 11/08/2019,640
11,,TOTAL MOVIMIENTO ACCION VECINAL,0.0,,,,,91,ELECCIONES PASO 11/08/2019,640
12,79,PARTIDO RENOVADOR FEDERAL,,,,,,91,ELECCIONES PASO 11/08/2019,640
13,79,SOMOS RENOVADORES,,0.0,,0.0,,91,ELECCIONES PASO 11/08/2019,640
14,,TOTAL PARTIDO RENOVADOR FEDERAL,,0.0,,0.0,,91,ELECCIONES PASO 11/08/2019,640
15,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD,,,,,,91,ELECCIONES PASO 11/08/2019,640
16,87,LISTA A-DESPERTAR,6.0,,,,,91,ELECCIONES PASO 11/08/2019,640
17,,TOTAL UNITE POR LA LIBERTAD Y LA DIGNIDAD,6.0,,,,,91,ELECCIONES PASO 11/08/2019,640
18,88/816,PARTIDO DIGNIDAD POPULAR,,,,,,91,ELECCIONES PASO 11/08/2019,640
19,88/816,LISTA 1A-POR LA VIDA,,1.0,1.0,1.0,1.0,91,ELECCIONES PASO 11/08/2019,640
20,,TOTAL PARTIDO DIGNIDAD POPULAR,,1.0,1.0,1.0,1.0,91,ELECCIONES PASO 11/08/2019,640
21,131/1911,FRENTE NOS,,,,,,91,ELECCIONES PASO 11/08/2019,640
22,131/1911,LISTA A-CELESTE 2019,2.0,,,,,91,ELECCIONES PASO 11/08/2019,640
23,131/1911,LINEA UNICA,,,2.0,2.0,,91,ELECCIONES PASO 11/08/2019,640
24,,TOTAL FRENTE NOS,2.0,,2.0,2.0,,91,ELECCIONES PASO 11/08/2019,640
25,132,FRENTE PATRIOTA,,,,,,91,ELECCIONES PASO 11/08/2019,640
26,132/,LISTA A-CELESTE,0.0,,,,,91,ELECCIONES PASO 11/08/2019,640
27,312/,LISTA CELESTE,,0.0,,,,91,ELECCIONES PASO 11/08/2019,640
28,865,LISTA LEALTAD,,,0.0,0.0,,91,ELECCIONES PASO 11/08/2019,640
29,,TOTAL FRENTE PATRIOTA,0.0,0.0,0.0,0.0,,91,ELECCIONES PASO 11/08/2019,640
30,133,FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,,,,,,91,ELECCIONES PASO 11/08/2019,640
31,133,LISTA-UNIDAD,6.0,7.0,7.0,8.0,0.0,91,ELECCIONES PASO 11/08/2019,640
32,,TOTAL FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,6.0,7.0,7.0,8.0,0.0,91,ELECCIONES PASO 11/08/2019,640
33,135,JUNTOS POR EL CAMBIO,,,,,,91,ELECCIONES PASO 11/08/2019,640
34,135,LISTA A-JUNTOS SOMOS EL CAMBIO,106.0,106.0,,,,91,ELECCIONES PASO 11/08/2019,640
35,135,LISTA 1A-AMARILLO,,,110.0,105.0,78.0,91,ELECCIONES PASO 11/08/2019,640
36,,TOTAL JUNTOS POR EL CAMBIO,106.0,106.0,110.0,105.0,78.0,91,ELECCIONES PASO 11/08/2019,640
37,136/503,FRENTE DE TODOS,,,,,,91,ELECCIONES PASO 11/08/2019,640
38,136/503,LISTA A CELESTE Y BLANCA,131.0,128.0,,,,91,ELECCIONES PASO 11/08/2019,640
39,136/503,LISTA CELESTE Y BLANCA-2,,,128.0,129.0,172.0,91,ELECCIONES PASO 11/08/2019,640
40,,TOTAL FRENTE DE TODOS,131.0,128.0,128.0,129.0,172.0,91,ELECCIONES PASO 11/08/2019,640
41,137,CONSENSO FEDERAL,,,,,,91,ELECCIONES PASO 11/08/2019,640
42,137,A-CONSENSO PARA EL FUTURO,20.0,14.0,,,,91,ELECCIONES PASO 11/08/2019,640
43,137,HAY CONSENSO,,,15.0,14.0,10.0,91,ELECCIONES PASO 11/08/2019,640
44,,TOTAL CONSENSO FEDERAL,20.0,14.0,15.0,14.0,10.0,91,ELECCIONES PASO 11/08/2019,640
45,207,PARTIDO HUMANISTA,,,,,,91,ELECCIONES PASO 11/08/2019,640
46,207,LISTA A-NARANJA,,0.0,,,,91,ELECCIONES PASO 11/08/2019,640
47,,TOTAL PARTIDO HUMANISTA,,0.0,,,,91,ELECCIONES PASO 11/08/2019,640
48,244,PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,,,91,ELECCIONES PASO 11/08/2019,640
49,244,LISTA LEALTAD,,,,0.0,,91,ELECCIONES PASO 11/08/2019,640
50,,TOTAL PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,0.0,,91,ELECCIONES PASO 11/08/2019,640
51,309,MOV. DE ORGANIZACION DEMOCRATICA-MODE,,,,,,91,ELECCIONES PASO 11/08/2019,640
52,309,LISTA COMPROMISO CIUDADANO,,0.0,,,,91,ELECCIONES PASO 11/08/2019,640
53,309,LISTA AZUL Y BLANCO,,,0.0,0.0,,91,ELECCIONES PASO 11/08/2019,640
54,,TOTAL MOV. DE ORGANIZACION DEMOCRATICA-MODE,,0.0,0.0,0.0,,91,ELECCIONES PASO 11/08/2019,640
55,314,PARTIDO REPUBLICANO FEDERAL,,,,,,91,ELECCIONES PASO 11/08/2019,640
56,314,LISTA A CELESTE Y BLANCO,,0.0,,,,91,ELECCIONES PASO 11/08/2019,640
57,,TOTAL PARTIDO REPUBLICANO FEDERAL,,0.0,,,,91,ELECCIONES PASO 11/08/2019,640
58,315,MORAL Y PROGRESO,,,,,,91,ELECCIONES PASO 11/08/2019,640
59,315,LISTA ESPERANZA,,0.0,,,,91,ELECCIONES PASO 11/08/2019,640
60,,TOTAL MORAL Y PROGRESO,,0.0,,,,91,ELECCIONES PASO 11/08/2019,640
61,,VOTOS NULOS,1.0,3.0,1.0,1.0,1.0,91,ELECCIONES PASO 11/08/2019,640
62,,VOTOS RECURRIDOS,0.0,0.0,0.0,0.0,0.0,91,ELECCIONES PASO 11/08/2019,640
63,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,0.0,91,ELECCIONES PASO 11/08/2019,640
64,,VOTOS EN BLANCO,8.0,20.0,15.0,20.0,19.0,91,ELECCIONES PASO 11/08/2019,640
65,,TOTALES,281.0,281.0,281.0,281.0,281.0,91,ELECCIONES PASO 11/08/2019,640
0,13,MOVIMIENTO AL SOCIALISMO-MAS,,,,,,92,ELECCIONES PASO 11/08/2019,640
1,13,LISTA 1A - UNIDAD DE LA IZQUIERDA,2.0,,,,,92,ELECCIONES PASO 11/08/2019,640
2,,TOTAL MOVIMIENTO AL SOCIALISMO-MAS,2.0,,,,,92,ELECCIONES PASO 11/08/2019,640
3,276,MOVIMIENTO DE AVANZADA SOCIALISTA,,,,,,92,ELECCIONES PASO 11/08/2019,640
4,276,LISTA 1A UNIDAD DE LA IZQUIERDA,,1.0,1.0,1.0,,92,ELECCIONES PASO 11/08/2019,640
5,,TOTAL MOVIMIENTO DE AVANZADA SOCIALISTA,,1.0,1.0,1.0,,92,ELECCIONES PASO 11/08/2019,640
6,36,PARTIDO AUTONOMISTA,,,,,,92,ELECCIONES PASO 11/08/2019,640
7,36,VALORES Y EXPERIENCIA,0.0,,,,,92,ELECCIONES PASO 11/08/2019,640
8,,TOTAL PARTIDO AUTONOMISTA,0.0,,,,,92,ELECCIONES PASO 11/08/2019,640
9,57,MOVIMIENTO ACCION VECINAL,,,,,,92,ELECCIONES PASO 11/08/2019,640
10,57,COMPROMISO VECINAL-A,0.0,,,,,92,ELECCIONES PASO 11/08/2019,640
11,,TOTAL MOVIMIENTO ACCION VECINAL,0.0,,,,,92,ELECCIONES PASO 11/08/2019,640
12,79,PARTIDO RENOVADOR FEDERAL,,,,,,92,ELECCIONES PASO 11/08/2019,640
13,79,SOMOS RENOVADORES,,0.0,,0.0,,92,ELECCIONES PASO 11/08/2019,640
14,,TOTAL PARTIDO RENOVADOR FEDERAL,,0.0,,0.0,,92,ELECCIONES PASO 11/08/2019,640
15,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD,,,,,,92,ELECCIONES PASO 11/08/2019,640
16,87,LISTA A-DESPERTAR,2.0,,,,,92,ELECCIONES PASO 11/08/2019,640
17,,TOTAL UNITE POR LA LIBERTAD Y LA DIGNIDAD,2.0,,,,,92,ELECCIONES PASO 11/08/2019,640
18,88/816,PARTIDO DIGNIDAD POPULAR,,,,,,92,ELECCIONES PASO 11/08/2019,640
19,88/816,LISTA 1A-POR LA VIDA,,0.0,0.0,0.0,0.0,92,ELECCIONES PASO 11/08/2019,640
20,,TOTAL PARTIDO DIGNIDAD POPULAR,,0.0,0.0,0.0,0.0,92,ELECCIONES PASO 11/08/2019,640
21,131/1911,FRENTE NOS,,,,,,92,ELECCIONES PASO 11/08/2019,640
22,131/1911,LISTA A-CELESTE 2019,3.0,,,,,92,ELECCIONES PASO 11/08/2019,640
23,131/1911,LINEA UNICA,,,2.0,3.0,,92,ELECCIONES PASO 11/08/2019,640
24,,TOTAL FRENTE NOS,3.0,,2.0,3.0,,92,ELECCIONES PASO 11/08/2019,640
25,132,FRENTE PATRIOTA,,,,,,92,ELECCIONES PASO 11/08/2019,640
26,132/,LISTA A-CELESTE,1.0,,,,,92,ELECCIONES PASO 11/08/2019,640
27,312/,LISTA CELESTE,,1.0,,,,92,ELECCIONES PASO 11/08/2019,640
28,865,LISTA LEALTAD,,,1.0,1.0,,92,ELECCIONES PASO 11/08/2019,640
29,,TOTAL FRENTE PATRIOTA,1.0,1.0,1.0,1.0,,92,ELECCIONES PASO 11/08/2019,640
30,133,FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,,,,,,92,ELECCIONES PASO 11/08/2019,640
31,133,LISTA-UNIDAD,9.0,9.0,9.0,9.0,5.0,92,ELECCIONES PASO 11/08/2019,640
32,,TOTAL FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,9.0,9.0,9.0,9.0,5.0,92,ELECCIONES PASO 11/08/2019,640
33,135,JUNTOS POR EL CAMBIO,,,,,,92,ELECCIONES PASO 11/08/2019,640
34,135,LISTA A-JUNTOS SOMOS EL CAMBIO,124.0,125.0,,,,92,ELECCIONES PASO 11/08/2019,640
35,135,LISTA 1A-AMARILLO,,,133.0,119.0,81.0,92,ELECCIONES PASO 11/08/2019,640
36,,TOTAL JUNTOS POR EL CAMBIO,124.0,125.0,133.0,119.0,81.0,92,ELECCIONES PASO 11/08/2019,640
37,136/503,FRENTE DE TODOS,,,,,,92,ELECCIONES PASO 11/08/2019,640
38,136/503,LISTA A CELESTE Y BLANCA,106.0,103.0,,,,92,ELECCIONES PASO 11/08/2019,640
39,136/503,LISTA CELESTE Y BLANCA-2,,,108.0,110.0,161.0,92,ELECCIONES PASO 11/08/2019,640
40,,TOTAL FRENTE DE TODOS,106.0,103.0,108.0,110.0,161.0,92,ELECCIONES PASO 11/08/2019,640
41,137,CONSENSO FEDERAL,,,,,,92,ELECCIONES PASO 11/08/2019,640
42,137,A-CONSENSO PARA EL FUTURO,24.0,21.0,,,,92,ELECCIONES PASO 11/08/2019,640
43,137,HAY CONSENSO,,,14.0,16.0,16.0,92,ELECCIONES PASO 11/08/2019,640
44,,TOTAL CONSENSO FEDERAL,24.0,21.0,14.0,16.0,16.0,92,ELECCIONES PASO 11/08/2019,640
