,NRO,AGRUPACION POLITICA,PRESIDENTE Y VICE,DIPUTADO NACIONAL,GOBERNADOR PROVINCIAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
42,137,A-CONSENSO PARA EL FUTURO,19.0,16.0,,,,3,ELECCIONES PASO 11/08/2019,638
43,137,HAY CONSENSO,,,12.0,13.0,12.0,3,ELECCIONES PASO 11/08/2019,638
44,,TOTAL CONSENSO FEDERAL,19.0,16.0,12.0,13.0,12.0,3,ELECCIONES PASO 11/08/2019,638
45,207,PARTIDO HUMANISTA,,,,,,3,ELECCIONES PASO 11/08/2019,638
46,207,LISTA A-NARANJA,,3.0,,,,3,ELECCIONES PASO 11/08/2019,638
47,,TOTAL PARTIDO HUMANISTA,,3.0,,,,3,ELECCIONES PASO 11/08/2019,638
48,244,PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,,,3,ELECCIONES PASO 11/08/2019,638
49,244,LISTA LEALTAD,,,,0.0,,3,ELECCIONES PASO 11/08/2019,638
50,,TOTAL PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,0.0,,3,ELECCIONES PASO 11/08/2019,638
51,309,MOV. DE ORGANIZACION DEMOCRATICA-MODE,,,,,,3,ELECCIONES PASO 11/08/2019,638
52,309,LISTA COMPROMISO CIUDADANO,,0.0,,,,3,ELECCIONES PASO 11/08/2019,638
53,309,LISTA AZUL Y BLANCO,,,0.0,0.0,,3,ELECCIONES PASO 11/08/2019,638
54,,TOTAL MOV. DE ORGANIZACION DEMOCRATICA-MODE,,0.0,0.0,0.0,,3,ELECCIONES PASO 11/08/2019,638
55,314,PARTIDO REPUBLICANO FEDERAL,,,,,,3,ELECCIONES PASO 11/08/2019,638
56,314,LISTA A CELESTE Y BLANCO,,2.0,,,,3,ELECCIONES PASO 11/08/2019,638
57,,TOTAL PARTIDO REPUBLICANO FEDERAL,,2.0,,,,3,ELECCIONES PASO 11/08/2019,638
58,315,MORAL Y PROGRESO,,,,,,3,ELECCIONES PASO 11/08/2019,638
59,315,LISTA ESPERANZA,,1.0,,,,3,ELECCIONES PASO 11/08/2019,638
60,,TOTAL MORAL Y PROGRESO,,1.0,,,,3,ELECCIONES PASO 11/08/2019,638
61,,VOTOS NULOS,2.0,2.0,2.0,2.0,2.0,3,ELECCIONES PASO 11/08/2019,638
62,,VOTOS RECURRIDOS,0.0,0.0,0.0,0.0,0.0,3,ELECCIONES PASO 11/08/2019,638
63,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,0.0,3,ELECCIONES PASO 11/08/2019,638
64,,VOTOS EN BLANCO,6.0,5.0,7.0,14.0,10.0,3,ELECCIONES PASO 11/08/2019,638
65,,TOTALES,275.0,275.0,275.0,275.0,275.0,3,ELECCIONES PASO 11/08/2019,638
0,13,MOVIMIENTO AL SOCIALISMO-MAS,,,,,,4,ELECCIONES PASO 11/08/2019,638
1,13,LISTA 1A - UNIDAD DE LA IZQUIERDA,5.0,,,,,4,ELECCIONES PASO 11/08/2019,638
2,,TOTAL MOVIMIENTO AL SOCIALISMO-MAS,5.0,,,,,4,ELECCIONES PASO 11/08/2019,638
3,276,MOVIMIENTO DE AVANZADA SOCIALISTA,,,,,,4,ELECCIONES PASO 11/08/2019,638
4,276,LISTA 1A UNIDAD DE LA IZQUIERDA,,5.0,4.0,4.0,,4,ELECCIONES PASO 11/08/2019,638
5,,TOTAL MOVIMIENTO DE AVANZADA SOCIALISTA,,5.0,4.0,4.0,,4,ELECCIONES PASO 11/08/2019,638
6,36,PARTIDO AUTONOMISTA,,,,,,4,ELECCIONES PASO 11/08/2019,638
7,36,VALORES Y EXPERIENCIA,1.0,,,,,4,ELECCIONES PASO 11/08/2019,638
8,,TOTAL PARTIDO AUTONOMISTA,1.0,,,,,4,ELECCIONES PASO 11/08/2019,638
9,57,MOVIMIENTO ACCION VECINAL,,,,,,4,ELECCIONES PASO 11/08/2019,638
10,57,COMPROMISO VECINAL-A,0.0,,,,,4,ELECCIONES PASO 11/08/2019,638
11,,TOTAL MOVIMIENTO ACCION VECINAL,0.0,,,,,4,ELECCIONES PASO 11/08/2019,638
12,79,PARTIDO RENOVADOR FEDERAL,,,,,,4,ELECCIONES PASO 11/08/2019,638
13,79,SOMOS RENOVADORES,,0.0,,0.0,,4,ELECCIONES PASO 11/08/2019,638
14,,TOTAL PARTIDO RENOVADOR FEDERAL,,0.0,,0.0,,4,ELECCIONES PASO 11/08/2019,638
15,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD,,,,,,4,ELECCIONES PASO 11/08/2019,638
16,87,LISTA A-DESPERTAR,5.0,,,,,4,ELECCIONES PASO 11/08/2019,638
17,,TOTAL UNITE POR LA LIBERTAD Y LA DIGNIDAD,5.0,,,,,4,ELECCIONES PASO 11/08/2019,638
18,88/816,PARTIDO DIGNIDAD POPULAR,,,,,,4,ELECCIONES PASO 11/08/2019,638
19,88/816,LISTA 1A-POR LA VIDA,,0.0,1.0,0.0,0.0,4,ELECCIONES PASO 11/08/2019,638
20,,TOTAL PARTIDO DIGNIDAD POPULAR,,0.0,1.0,0.0,0.0,4,ELECCIONES PASO 11/08/2019,638
21,131/1911,FRENTE NOS,,,,,,4,ELECCIONES PASO 11/08/2019,638
22,131/1911,LISTA A-CELESTE 2019,7.0,,,,,4,ELECCIONES PASO 11/08/2019,638
23,131/1911,LINEA UNICA,,,5.0,6.0,,4,ELECCIONES PASO 11/08/2019,638
24,,TOTAL FRENTE NOS,7.0,,5.0,6.0,,4,ELECCIONES PASO 11/08/2019,638
25,132,FRENTE PATRIOTA,,,,,,4,ELECCIONES PASO 11/08/2019,638
26,132/,LISTA A-CELESTE,0.0,,,,,4,ELECCIONES PASO 11/08/2019,638
27,312/,LISTA CELESTE,,1.0,,,,4,ELECCIONES PASO 11/08/2019,638
28,865,LISTA LEALTAD,,,1.0,1.0,,4,ELECCIONES PASO 11/08/2019,638
29,,TOTAL FRENTE PATRIOTA,0.0,1.0,1.0,1.0,,4,ELECCIONES PASO 11/08/2019,638
30,133,FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,,,,,,4,ELECCIONES PASO 11/08/2019,638
31,133,LISTA-UNIDAD,11.0,12.0,11.0,12.0,8.0,4,ELECCIONES PASO 11/08/2019,638
32,,TOTAL FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,11.0,12.0,11.0,12.0,8.0,4,ELECCIONES PASO 11/08/2019,638
33,135,JUNTOS POR EL CAMBIO,,,,,,4,ELECCIONES PASO 11/08/2019,638
34,135,LISTA A-JUNTOS SOMOS EL CAMBIO,113.0,111.0,,,,4,ELECCIONES PASO 11/08/2019,638
35,135,LISTA 1A-AMARILLO,,,120.0,111.0,84.0,4,ELECCIONES PASO 11/08/2019,638
36,,TOTAL JUNTOS POR EL CAMBIO,113.0,111.0,120.0,111.0,84.0,4,ELECCIONES PASO 11/08/2019,638
37,136/503,FRENTE DE TODOS,,,,,,4,ELECCIONES PASO 11/08/2019,638
38,136/503,LISTA A CELESTE Y BLANCA,113.0,111.0,,,,4,ELECCIONES PASO 11/08/2019,638
39,136/503,LISTA CELESTE Y BLANCA-2,,,115.0,114.0,171.0,4,ELECCIONES PASO 11/08/2019,638
40,,TOTAL FRENTE DE TODOS,113.0,111.0,115.0,114.0,171.0,4,ELECCIONES PASO 11/08/2019,638
41,137,CONSENSO FEDERAL,,,,,,4,ELECCIONES PASO 11/08/2019,638
42,137,A-CONSENSO PARA EL FUTURO,26.0,26.0,,,,4,ELECCIONES PASO 11/08/2019,638
43,137,HAY CONSENSO,,,19.0,19.0,16.0,4,ELECCIONES PASO 11/08/2019,638
44,,TOTAL CONSENSO FEDERAL,26.0,26.0,19.0,19.0,16.0,4,ELECCIONES PASO 11/08/2019,638
45,207,PARTIDO HUMANISTA,,,,,,4,ELECCIONES PASO 11/08/2019,638
46,207,LISTA A-NARANJA,,0.0,,,,4,ELECCIONES PASO 11/08/2019,638
47,,TOTAL PARTIDO HUMANISTA,,0.0,,,,4,ELECCIONES PASO 11/08/2019,638
48,244,PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,,,4,ELECCIONES PASO 11/08/2019,638
