,NRO,AGRUPACION POLITICA,PRESIDENTE Y VICE,PARLAMENTARIO MERCOSUR (DN),mesa,eleciones,circuito
2,133.0,ALIANZA COMPROMISO FEDERAL,4,4,9,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,147,141,9,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,8,9,9,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,51,42,9,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,6,22,9,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,4,3,9,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,1,1,9,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,9,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,298,298,9,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,72,72,10,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,11,13,10,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,2,2,10,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,141,137,10,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,14,16,10,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,52,42,10,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,1,12,10,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,10,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,1,0,10,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,10,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,295,295,10,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,67,61,11,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,4,5,11,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,0,0,11,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,148,147,11,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,12,12,11,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,49,39,11,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,3,19,11,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,5,5,11,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,11,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,11,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,288,288,11,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,71,70,12,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,8,10,12,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,3,2,12,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,123,120,12,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,11,11,12,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,62,51,12,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,3,19,12,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,3,1,12,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,12,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,12,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,284,284,12,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,77,76,13,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,4,5,13,ELECCIONES GENERALES 25/10/2015,638
