,NRO,AGRUPACION POLITICA,PRESIDENTE Y VICE,PARLAMENTARIO MERCOSUR (DN),mesa,eleciones,circuito
6,,VOTOS EN BLANCO,2,18,49,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,3,3,49,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,49,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,49,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,284,284,49,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,82,82,50,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,2,4,50,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,0,50,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,122,115,50,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,10,11,50,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,68,60,50,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,1,15,50,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,3,2,50,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,50,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,50,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,289,289,50,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,82,81,51,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,3,3,51,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,2,2,51,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,137,136,51,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,4,6,51,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,48,38,51,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,1,11,51,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,51,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,51,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,51,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,277,277,51,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,72,72,52,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,6,4,52,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,3,2,52,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,136,136,52,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,9,13,52,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,66,58,52,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,4,11,52,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,52,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,52,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,52,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,296,296,52,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,79,72,53,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,10,9,53,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,3,3,53,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,124,121,53,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,5,5,53,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,60,54,53,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,4,20,53,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,2,2,53,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,1,53,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,53,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,287,287,53,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,80,80,54,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,5,4,54,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,2,1,54,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,137,136,54,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,8,9,54,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,58,50,54,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,4,15,54,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,0,54,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,54,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,54,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,295,295,54,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,69,72,55,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,13,10,55,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,6,4,55,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,140,142,55,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,8,9,55,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,58,47,55,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,2,13,55,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,2,1,55,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,55,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,55,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,298,298,55,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,109,102,56,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,6,5,56,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,0,1,56,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,93,90,56,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,7,8,56,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,59,50,56,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,3,21,56,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,56,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,56,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,56,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,278,278,56,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,65,65,57,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,8,8,57,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,3,2,57,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,123,118,57,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,9,11,57,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,69,55,57,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,3,21,57,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,57,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,57,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,57,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,280,280,57,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,87,91,58,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,7,4,58,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,0,58,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,124,121,58,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,14,16,58,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,50,41,58,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,3,13,58,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,3,3,58,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,58,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,58,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,289,289,58,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,74,74,59,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,4,6,59,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,2,2,59,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,120,110,59,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,10,8,59,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,61,50,59,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,2,23,59,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,59,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,2,2,59,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,59,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,276,276,59,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,82,88,60,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,4,7,60,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,7,6,60,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,109,104,60,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,11,10,60,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,56,42,60,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,12,25,60,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,5,5,60,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,1,0,60,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,60,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,287,287,60,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,63,63,61,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,5,5,61,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,3,3,61,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,147,143,61,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,5,5,61,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,51,44,61,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,6,17,61,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,4,4,61,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,61,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,61,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,284,284,61,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,61,55,62,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,8,8,62,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,2,1,62,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,136,132,62,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,15,18,62,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,57,46,62,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,5,24,62,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,62,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,62,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,62,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,284,284,62,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,76,79,63,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,10,6,63,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,0,0,63,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,119,113,63,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,8,10,63,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,57,50,63,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,6,18,63,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,4,4,63,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,63,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,63,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,280,280,63,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,75,74,64,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,4,5,64,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,3,3,64,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,135,130,64,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,8,8,64,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,59,46,64,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,3,21,64,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,64,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,64,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,64,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,287,287,64,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,80,76,65,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,5,6,65,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,0,65,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,147,146,65,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,1,3,65,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,48,43,65,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,6,14,65,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,8,8,65,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,65,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,65,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,296,296,65,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,77,72,66,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,10,8,66,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,3,2,66,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,135,134,66,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,5,4,66,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,55,44,66,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,5,25,66,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,2,66,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,66,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,66,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,291,291,66,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,91,84,67,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,4,4,67,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,5,4,67,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,122,121,67,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,10,15,67,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,57,49,67,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,7,19,67,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,67,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,67,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,67,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,297,297,67,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,77,81,68,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,8,7,68,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,1,68,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,152,150,68,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,7,8,68,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,44,38,68,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,7,11,68,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,68,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,68,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,68,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,296,296,68,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,75,74,69,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,5,6,69,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,5,4,69,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,128,127,69,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,9,8,69,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,61,49,69,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,5,20,69,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,69,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,1,1,69,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,69,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,290,290,69,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,104,100,70,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,7,10,70,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,1,70,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,117,109,70,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,5,8,70,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,46,41,70,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,5,16,70,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,70,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,1,1,70,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,70,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,287,287,70,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,68,65,71,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,9,10,71,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,3,3,71,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,121,122,71,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,7,7,71,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,60,46,71,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,7,22,71,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,71,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,71,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,71,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,276,276,71,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,89,88,72,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,7,6,72,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,2,1,72,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,126,122,72,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,10,12,72,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,57,48,72,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,1,15,72,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,72,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,72,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,72,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,292,292,72,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,75,76,73,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,4,7,73,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,2,73,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,145,142,73,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,6,8,73,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,50,36,73,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,7,18,73,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,0,73,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,73,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,73,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,289,289,73,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,25,26,74,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,4,3,74,ELECCIONES GENERALES 25/10/2015,638
