,NRO,NRO.1,AGRUPACION POLITICA,SENADOR NACIONAL,DIPUTADO NACIONAL,SENADOR PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,6,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,6.0,7.0,8.0,7,6,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,287.0,287.0,287.0,287,6,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,15.0,15.0,14.0,10,7,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,55.0,53.0,53.0,53,7,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,175.0,177.0,178.0,174,7,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,15.0,13.0,13.0,14,7,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,16.0,16.0,16.0,14,7,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,4,7,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,3.0,3.0,3.0,3,7,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,7,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,7,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,4.0,6.0,6.0,11,7,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,283.0,283.0,283.0,283,7,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,21.0,21.0,20.0,15,8,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,71.0,71.0,72.0,79,8,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,145.0,145.0,146.0,142,8,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,13.0,13.0,12.0,15,8,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,7.0,6.0,6.0,7,8,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,8,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,2.0,2.0,2,8,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,8,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,8,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,6.0,7.0,7.0,3,8,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,265.0,265.0,265.0,265,8,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,28.0,28.0,25.0,26,9,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,51.0,49.0,49.0,45,9,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,172.0,175.0,173.0,181,9,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,13.0,12.0,12.0,11,9,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,14.0,14.0,14.0,13,9,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,1,9,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,2.0,2.0,2,9,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,9,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,9,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,5.0,5.0,10.0,6,9,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,285.0,285.0,285.0,285,9,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,27.0,26.0,26.0,20,10,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,57.0,57.0,57.0,62,10,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,160.0,160.0,161.0,160,10,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,18.0,17.0,17.0,14,10,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,14.0,14.0,14.0,14,10,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,4,10,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,1.0,1.0,1.0,2,10,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,1.0,1.0,1.0,1,10,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,10,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,4.0,6.0,5.0,5,10,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,282.0,282.0,282.0,282,10,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,16.0,17.0,19.0,16,11,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,56.0,54.0,53.0,61,11,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,162.0,163.0,159.0,157,11,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,12.0,12.0,12.0,15,11,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,13.0,12.0,13.0,11,11,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,11,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,4.0,3.0,3.0,4,11,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,11,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,11,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,12.0,14.0,16.0,8,11,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,275.0,275.0,275.0,275,11,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,31.0,29.0,29.0,26,12,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,59.0,57.0,58.0,62,12,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,157.0,158.0,157.0,157,12,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,17.0,16.0,15.0,15,12,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,12.0,12.0,12.0,9,12,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,5,12,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,0.0,0.0,1,12,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,12,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,12,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,4.0,10.0,11.0,7,12,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,282.0,282.0,282.0,282,12,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,22.0,22.0,22.0,20,13,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,53.0,52.0,51.0,48,13,ELECCIONES GENERALES 22/10/2017,638
