,NRO,NRO.1,AGRUPACION POLITICA,SENADOR NACIONAL,DIPUTADO NACIONAL,SENADOR PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,0,42,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,2.0,2.0,2,42,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,42,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,42,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,3.0,4.0,4.0,1,42,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,279.0,279.0,279.0,279,42,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,28.0,22.0,22.0,16,43,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,61.0,61.0,61.0,70,43,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,170.0,173.0,170.0,170,43,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,12.0,12.0,11.0,14,43,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,7.0,9.0,11.0,7,43,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,43,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,2.0,2.0,2,43,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,43,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,43,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,4.0,5.0,7.0,3,43,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,284.0,284.0,284.0,284,43,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,19.0,17.0,16.0,14,44,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,74.0,70.0,70.0,72,44,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,154.0,154.0,154.0,157,44,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,14.0,12.0,12.0,10,44,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,9.0,12.0,12.0,10,44,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,5,44,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,2.0,2.0,2,44,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,44,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,44,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,6.0,11.0,12.0,8,44,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,278.0,278.0,278.0,278,44,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,25.0,21.0,21.0,19,45,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,70.0,69.0,69.0,75,45,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,136.0,138.0,139.0,137,45,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,17.0,15.0,15.0,13,45,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,17.0,20.0,19.0,18,45,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,6,45,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,4.0,4.0,4.0,4,45,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,45,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,45,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,6.0,8.0,8.0,3,45,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,275.0,275.0,275.0,275,45,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,31.0,28.0,28.0,24,46,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,71.0,66.0,66.0,71,46,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,159.0,160.0,160.0,161,46,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,20.0,19.0,19.0,18,46,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,1.0,3.0,2.0,2,46,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,46,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,4.0,4.0,4.0,4,46,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,46,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,46,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,3.0,9.0,10.0,7,46,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,289.0,289.0,289.0,289,46,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,29.0,30.0,28.0,18,47,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,55.0,54.0,54.0,64,47,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,171.0,170.0,171.0,167,47,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,6.0,6.0,6.0,9,47,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,11.0,12.0,12.0,11,47,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,47,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,2.0,3.0,3,47,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,47,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,47,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,3.0,3.0,3.0,3,47,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,277.0,277.0,277.0,277,47,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,30.0,29.0,26.0,22,48,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,65.0,65.0,65.0,62,48,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,151.0,150.0,151.0,150,48,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,15.0,15.0,15.0,18,48,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,7.0,7.0,7.0,6,48,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,48,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,4.0,4.0,4.0,4,48,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,48,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,48,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,6.0,8.0,10.0,14,48,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,278.0,278.0,278.0,278,48,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,38.0,39.0,37.0,29,49,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,72.0,68.0,69.0,72,49,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,163.0,164.0,162.0,163,49,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,12.0,12.0,13.0,14,49,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,6.0,6.0,6.0,8,49,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,4,49,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,1.0,0.0,0.0,0,49,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,49,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,49,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,4.0,7.0,9.0,6,49,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,296.0,296.0,296.0,296,49,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,19.0,17.0,15.0,14,50,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,60.0,57.0,58.0,61,50,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,181.0,181.0,181.0,180,50,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,9.0,10.0,10.0,10,50,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,5.0,8.0,8.0,7,50,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,1,50,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,50,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,50,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,50,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,4.0,5.0,6.0,5,50,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,278.0,278.0,278.0,278,50,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,26.0,26.0,25.0,25,51,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,64.0,63.0,62.0,63,51,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,162.0,164.0,166.0,166,51,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,9.0,8.0,8.0,8,51,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,19.0,20.0,20.0,16,51,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,6,51,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,51,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,51,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,51,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,6.0,5.0,5.0,2,51,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,286.0,286.0,286.0,286,51,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,24.0,24.0,24.0,17,52,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,67.0,65.0,65.0,68,52,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,153.0,154.0,153.0,156,52,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,15.0,14.0,14.0,13,52,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,10.0,12.0,12.0,10,52,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,52,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,1.0,1.0,1.0,1,52,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,52,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,52,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,3.0,3.0,4.0,5,52,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,273.0,273.0,273.0,273,52,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,22.0,18.0,18.0,16,53,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,54.0,52.0,53.0,53,53,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,178.0,181.0,181.0,172,53,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,12.0,11.0,9.0,9,53,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,15.0,18.0,18.0,13,53,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,10,53,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,53,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,53,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,53,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,4.0,5.0,6.0,12,53,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,285.0,285.0,285.0,285,53,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,22.0,22.0,22.0,22,54,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,45.0,45.0,45.0,51,54,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,195.0,195.0,196.0,189,54,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,12.0,12.0,10.0,10,54,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,9.0,9.0,9.0,9,54,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,54,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,54,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,54,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,54,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,3.0,3.0,4.0,2,54,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,286.0,286.0,286.0,286,54,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,30.0,31.0,30.0,26,55,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,78.0,77.0,76.0,75,55,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,121.0,119.0,119.0,124,55,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,20.0,20.0,20.0,21,55,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,15.0,15.0,16.0,15,55,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,55,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,1.0,1.0,1.0,1,55,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,55,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,55,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,2.0,4.0,5.0,2,55,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,267.0,267.0,267.0,267,55,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,29.0,28.0,28.0,22,56,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,71.0,68.0,68.0,71,56,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,145.0,148.0,148.0,152,56,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,20.0,19.0,19.0,21,56,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,7.0,8.0,8.0,7,56,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,1,56,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,1.0,1.0,1.0,1,56,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,56,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,56,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,9.0,10.0,10.0,7,56,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,282.0,282.0,282.0,282,56,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,17.0,15.0,19.0,15,57,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,66.0,62.0,62.0,67,57,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,168.0,171.0,167.0,164,57,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,8.0,8.0,7.0,11,57,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,14.0,16.0,16.0,15,57,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,57,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,2.0,2.0,2,57,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,57,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,57,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,4.0,5.0,6.0,3,57,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,279.0,279.0,279.0,279,57,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,32.0,29.0,30.0,25,58,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,72.0,71.0,71.0,74,58,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,137.0,140.0,139.0,143,58,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,13.0,11.0,11.0,10,58,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,9.0,10.0,10.0,9,58,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,58,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,3.0,2.0,2.0,3,58,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,58,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,58,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,3.0,6.0,6.0,2,58,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,269.0,269.0,269.0,269,58,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,25.0,24.0,24.0,21,59,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,71.0,66.0,67.0,73,59,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,147.0,147.0,147.0,145,59,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,16.0,16.0,16.0,14,59,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,11.0,14.0,13.0,12,59,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,59,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,2.0,2.0,2,59,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,59,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,59,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,5.0,8.0,8.0,7,59,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,277.0,277.0,277.0,277,59,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,28.0,27.0,27.0,22,60,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,41.0,41.0,41.0,46,60,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,179.0,180.0,180.0,183,60,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,16.0,14.0,14.0,8,60,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,7.0,7.0,7.0,10,60,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,6,60,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,6.0,6.0,6.0,5,60,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,60,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,60,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,6.0,8.0,8.0,3,60,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,283.0,283.0,283.0,283,60,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,28.0,29.0,29.0,23,61,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,71.0,67.0,67.0,73,61,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,148.0,147.0,147.0,141,61,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,9.0,9.0,9.0,8,61,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,10.0,11.0,11.0,12,61,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,5,61,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,3.0,3.0,3.0,3,61,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,61,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,61,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,1.0,4.0,4.0,5,61,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,270.0,270.0,270.0,270,61,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,26.0,26.0,22.0,21,62,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,57.0,53.0,55.0,61,62,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,163.0,164.0,164.0,161,62,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,9.0,6.0,7.0,5,62,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,11.0,11.0,11.0,10,62,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,62,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,1.0,1.0,1.0,1,62,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,62,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,62,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,0.0,6.0,7.0,5,62,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,267.0,267.0,267.0,267,62,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,37.0,37.0,37.0,35,63,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,39.0,36.0,36.0,43,63,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,161.0,162.0,162.0,160,63,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,17.0,16.0,15.0,16,63,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,9.0,9.0,9.0,9,63,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,63,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,3.0,3.0,3.0,3,63,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,63,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,63,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,8.0,11.0,12.0,5,63,ELECCIONES GENERALES 22/10/2017,638
